title,company,area,salary
Python Back End Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Python Full Stack Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Odoo / Python Developer,GLC,"Obour City, Cairo, Egypt ",
Senior Python Developer,Crevisoft Corporation,"Cairo, Egypt ",
Senior Python Developer,Confidential -,"6th of October, Giza, Egypt ",
Asterisk / Python Application Developer,Tqniat Lab L.L.C,"Nasr City, Cairo, Egypt ",
Python Developer,Arabian Advanced Systems,"New Cairo, Cairo, Egypt ",
Senior Software Engineer - Backend Python,unilearn,"6th of October, Giza, Egypt ",
Python Developer - Internship,RaccoonPlatform,"Smart Village, Giza, Egypt ",
Software Automation Engineer,AFKAR Technology,"Smart Village, Giza, Egypt ",
.css-nn640c{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Senior Software Engineer - Python,Paymob Solutions,"Maadi, Cairo, Egypt ",
Python Developer,LavaLoon,"Nasr City, Cairo, Egypt ",
Python Software Developer,Xontel,"Glim, Alexandria, Egypt ",
Senior Software Engineer - Python Back End,LxT,"Mohandessin, Giza, Egypt ",
"Software Engineer - Java, Spring And Python",YDS yasar digital services ,"6th of October, Giza, Egypt ",
Python Back End Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Python Full Stack Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Odoo / Python Developer,GLC,"Obour City, Cairo, Egypt ",
Senior Python Developer,Crevisoft Corporation,"Cairo, Egypt ",
Senior Python Developer,Confidential -,"6th of October, Giza, Egypt ",
Asterisk / Python Application Developer,Tqniat Lab L.L.C,"Nasr City, Cairo, Egypt ",
Python Developer,Arabian Advanced Systems,"New Cairo, Cairo, Egypt ",
Senior Software Engineer - Backend Python,unilearn,"6th of October, Giza, Egypt ",
Python Developer - Internship,RaccoonPlatform,"Smart Village, Giza, Egypt ",
Software Automation Engineer,AFKAR Technology,"Smart Village, Giza, Egypt ",
.css-nn640c{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Senior Software Engineer - Python,Paymob Solutions,"Maadi, Cairo, Egypt ",
Python Developer,LavaLoon,"Nasr City, Cairo, Egypt ",
Python Software Developer,Xontel,"Glim, Alexandria, Egypt ",
Senior Software Engineer - Python Back End,LxT,"Mohandessin, Giza, Egypt ",
"Software Engineer - Java, Spring And Python",YDS yasar digital services ,"6th of October, Giza, Egypt ",
Python Back End Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Python Full Stack Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Odoo / Python Developer,GLC,"Obour City, Cairo, Egypt ",
Senior Python Developer,Crevisoft Corporation,"Cairo, Egypt ",
Senior Python Developer,Confidential -,"6th of October, Giza, Egypt ",
Asterisk / Python Application Developer,Tqniat Lab L.L.C,"Nasr City, Cairo, Egypt ",
Python Developer,Arabian Advanced Systems,"New Cairo, Cairo, Egypt ",
Senior Software Engineer - Backend Python,unilearn,"6th of October, Giza, Egypt ",
Python Developer - Internship,RaccoonPlatform,"Smart Village, Giza, Egypt ",
Software Automation Engineer,AFKAR Technology,"Smart Village, Giza, Egypt ",
.css-nn640c{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Senior Software Engineer - Python,Paymob Solutions,"Maadi, Cairo, Egypt ",
Python Developer,LavaLoon,"Nasr City, Cairo, Egypt ",
Python Software Developer,Xontel,"Glim, Alexandria, Egypt ",
Senior Software Engineer - Python Back End,LxT,"Mohandessin, Giza, Egypt ",
"Software Engineer - Java, Spring And Python",YDS yasar digital services ,"6th of October, Giza, Egypt ",
Python Back End Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Python Full Stack Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Odoo / Python Developer,GLC,"Obour City, Cairo, Egypt ",
Senior Python Developer,Crevisoft Corporation,"Cairo, Egypt ",
Senior Python Developer,Confidential -,"6th of October, Giza, Egypt ",
Asterisk / Python Application Developer,Tqniat Lab L.L.C,"Nasr City, Cairo, Egypt ",
Python Developer,Arabian Advanced Systems,"New Cairo, Cairo, Egypt ",
Senior Software Engineer - Backend Python,unilearn,"6th of October, Giza, Egypt ",
Python Developer - Internship,RaccoonPlatform,"Smart Village, Giza, Egypt ",
Software Automation Engineer,AFKAR Technology,"Smart Village, Giza, Egypt ",
.css-nn640c{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Senior Software Engineer - Python,Paymob Solutions,"Maadi, Cairo, Egypt ",
Python Developer,LavaLoon,"Nasr City, Cairo, Egypt ",
Python Software Developer,Xontel,"Glim, Alexandria, Egypt ",
Senior Software Engineer - Python Back End,LxT,"Mohandessin, Giza, Egypt ",
"Software Engineer - Java, Spring And Python",YDS yasar digital services ,"6th of October, Giza, Egypt ",
Python Back End Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Python Full Stack Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Odoo / Python Developer,GLC,"Obour City, Cairo, Egypt ",
Senior Python Developer,Crevisoft Corporation,"Cairo, Egypt ",
Senior Python Developer,Confidential -,"6th of October, Giza, Egypt ",
Asterisk / Python Application Developer,Tqniat Lab L.L.C,"Nasr City, Cairo, Egypt ",
Python Developer,Arabian Advanced Systems,"New Cairo, Cairo, Egypt ",
Senior Software Engineer - Backend Python,unilearn,"6th of October, Giza, Egypt ",
Python Developer - Internship,RaccoonPlatform,"Smart Village, Giza, Egypt ",
Software Automation Engineer,AFKAR Technology,"Smart Village, Giza, Egypt ",
.css-nn640c{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Senior Software Engineer - Python,Paymob Solutions,"Maadi, Cairo, Egypt ",
Python Developer,LavaLoon,"Nasr City, Cairo, Egypt ",
Python Software Developer,Xontel,"Glim, Alexandria, Egypt ",
Senior Software Engineer - Python Back End,LxT,"Mohandessin, Giza, Egypt ",
"Software Engineer - Java, Spring And Python",YDS yasar digital services ,"6th of October, Giza, Egypt ",
Python Back End Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Python Full Stack Developer,Centro Global Solutions,"Maadi, Cairo, Egypt ",
Odoo / Python Developer,GLC,"Obour City, Cairo, Egypt ",
Senior Python Developer,Crevisoft Corporation,"Cairo, Egypt ",
Senior Python Developer,Confidential -,"6th of October, Giza, Egypt ",
Asterisk / Python Application Developer,Tqniat Lab L.L.C,"Nasr City, Cairo, Egypt ",
Python Developer,Arabian Advanced Systems,"New Cairo, Cairo, Egypt ",
Senior Software Engineer - Backend Python,unilearn,"6th of October, Giza, Egypt ",
Python Developer - Internship,RaccoonPlatform,"Smart Village, Giza, Egypt ",
Software Automation Engineer,AFKAR Technology,"Smart Village, Giza, Egypt ",
